import time: self [us] | cumulative | imported package
import time:       923 |       1559 |                   unittest.runner
import time:       864 |       2423 |                 unittest.main
import time:      2867 |      14572 |               unittest
import time:       361 |        361 |                 pulp.tests.bin_packing_problem
import time:       205 |        205 |                 gurobipy
import time:      1487 |       2052 |               pulp.tests.test_pulp
import time:      1038 |       1038 |               pulp.tests.test_examples
import time:       163 |        163 |                 gurobipy
import time:       645 |        807 |               pulp.tests.test_gurobipy_env
import time:       742 |      19208 |             pulp.tests.run_tests
import time:       424 |      19632 |           pulp.tests
import time:       828 |      66635 |         pulp
import time:      1075 |      67709 |       app.services.solver
import time:      7078 |     259249 |     app.api.cartola
import time:      4924 |       4924 |     app.api.solver
import time:       573 |        573 |               google.auth.version
import time:       747 |        747 |                 google.auth.environment_vars
import time:       886 |        886 |                 google.auth.exceptions
import time:       484 |        484 |                   google.auth.transport
import time:       963 |        963 |                   google.auth._helpers
import time:       797 |       2244 |                 google.auth.transport._http_client
import time:      1012 |       4887 |               google.auth._default
import time:       737 |       6196 |             google.auth
import time:       420 |        420 |             google.auth.metrics
import time:       406 |        406 |             google.auth._credentials_base
import time:       446 |        446 |             google.auth._refresh_worker
import time:      1162 |       8628 |           google.auth.credentials
import time:      2192 |       2192 |                   urllib3.exceptions
import time:       711 |        711 |                           urllib3.util.timeout
import time:       715 |       1425 |                         urllib3.util.connection
import time:       358 |        358 |                           urllib3.util.util
import time:       154 |        154 |                           brotlicffi
import time:       125 |        125 |                           brotli
import time:       124 |        124 |                           backports
import time:      1138 |       1897 |                         urllib3.util.request
import time:       408 |        408 |                         urllib3.util.response
import time:      2183 |       2183 |                         urllib3.util.retry
import time:     42341 |      42341 |                           urllib3.util.url
import time:      1079 |       1079 |                           urllib3.util.ssltransport
import time:       792 |      44211 |                         urllib3.util.ssl_
import time:       572 |        572 |                         urllib3.util.wait
import time:       531 |      51225 |                       urllib3.util
import time:        58 |      51283 |                     urllib3.util.connection
import time:      1638 |      52920 |                   urllib3._base_connection
import time:      1832 |       1832 |                   urllib3._collections
import time:      1251 |       1251 |                   urllib3._version
import time:      5122 |       5122 |                       _queue
import time:      1189 |       6310 |                     queue
import time:       984 |        984 |                         urllib3.fields
import time:       619 |       1603 |                       urllib3.filepost
import time:       216 |        216 |                         brotlicffi
import time:       187 |        187 |                         brotli
import time:       687 |        687 |                           urllib3.http2
import time:       789 |        789 |                           urllib3.http2.probe
import time:       529 |        529 |                           urllib3.util.ssl_match_hostname
import time:      1686 |       3689 |                         urllib3.connection
import time:       206 |        206 |                         backports
import time:      1460 |       5756 |                       urllib3.response
import time:       863 |       8222 |                     urllib3._request_methods
import time:       409 |        409 |                     urllib3.util.proxy
import time:      1282 |      16221 |                   urllib3.connectionpool
import time:      1862 |       1862 |                   urllib3.poolmanager
import time:       825 |      77101 |                 urllib3
import time:      2757 |       2757 |                         charset_normalizer.constant
import time:      5664 |       5664 |                           charset_normalizer.md__mypyc
import time:      3266 |       3266 |                             _multibytecodec
import time:      1171 |       4436 |                           charset_normalizer.utils
import time:      4093 |      14193 |                         charset_normalizer.md
